iter	RMSE
249	42190697.84
250	42113195.36
251	41987254.28
252	41856844.25
253	41797066.98
254	41760514.51
255	41696865.6
256	41583822.56
257	41565689.34
258	41382632.61
259	41272431.75
260	41129160.76
261	40995296.7
262	40858555.81
263	40663821.7
264	40574851.15
265	40540086.54
266	40506571.9
267	40480911.82
268	40386163.26
269	40310978.6
270	40220662.56
271	40096102.96
272	40081743.93
273	40008684.62
274	39882128.51
275	39760731.67
276	39711994.1
277	39567996.44
278	39456689.72
279	39415669
280	39264931.4
281	39218189.54
282	39200364.64
283	39123322.23
284	39109189.09
285	39094955.02
286	38971908.18
287	38847601.91
288	38707816.33
289	38665142.91
290	38581827.16
291	38418495.81
292	38303670.9
293	38208958.43
294	38105068.09
295	37992645.35
296	37965235.43
297	37953972.4
298	37828050.63
299	37738340.12
300	37723562.13
301	37706196.61
302	37620552.26
303	37532445.74
304	37506869.77
305	37481330.34
306	37469075.4
307	37444182.08
308	37355939.61
309	37245285.41
310	37210577.5
311	37171509.23
312	37098457.3
313	36979404.89
314	36880234.73
315	36754748.65
316	36735609.77
317	36661566.78
318	36564979
319	36479322.6
320	36460412.6
321	36375087.22
322	36294501.13
323	36227550.54
324	36103539.75
325	36040439.02
326	35895756.42
327	35879537.75
328	35804768.36
329	35741118.61
330	35679654.28
331	35592194.15
332	35538339.5
333	35458676.54
334	35333866.17
335	35315524.76
336	35261535.49
337	35178303.2
338	35151984.57
339	35081348.43
340	35032208.36
341	34946006.87
342	34882234.9
343	34815696.15
344	34723461.57
345	34610420.34
346	34546158.3
347	34412277.53
348	34345733.99
349	34328607.15
350	34253708.74
351	34173694.3
352	34161291.1
353	34084341.84
354	34056785.32
355	34039854.49
356	34022139.95
357	34011989.69
358	33948847.66
359	33915941.05
360	33867944.13
361	33819744.37
362	33772998.18
363	33705465.1
364	33625982.24
365	33545237.68
366	33442792.33
367	33367914.58
368	33304739.64
369	33288700.79
370	33272383.14
371	33231853.45
372	33153219.89
373	33100841.03
374	33033019.72
375	32949606.92
376	32894879.29
377	32873773.55
378	32778372.9
379	32701362.81
380	32605529.74
381	32551404.97
382	32488216.96
383	32414985.41
384	32369209.02
385	32257935.18
386	32151784.68
387	32072791.7
388	32015803.95
389	31963305.79
390	31948688.66
391	31936430.32
392	31889447.08
393	31814846.18
394	31756314.73
395	31661839.09
396	31586554.22
397	31537883.31
398	31446009.99
399	31362232.59
400	31285251.97
401	31225208.6
402	31160049.4
403	31072839.47
404	31059612
405	31034864.37
406	31021699.16
407	31008364.73
408	30922458.18
409	30856171.22
410	30792417.99
411	30745284.86
412	30701160.44
413	30676456.71
414	30617502.59
415	30546690.32
416	30481164.36
417	30436217.1
418	30383799.79
419	30370989.82
420	30299643.29
421	30272177.84
422	30249368.38
423	30198527.08
424	30176946.79
425	30163691.01
426	30099346.19
427	30055365.78
428	30016646.88
429	29944102.13
430	29887970.62
431	29878468.28
432	29860964.21
433	29849444.54
434	29836884.1
435	29824426.35
436	29757219.41
437	29728055.51
438	29648243.73
439	29622240.11
440	29535298.09
441	29479803.8
442	29458981.88
443	29397318.94
444	29347415.76
445	29269919.73
446	29202773.23
447	29140567.05
448	29106373.17
449	29097881.87
450	29092517.28
451	29060271.44
452	29050354.4
453	28979106.13
454	28934399.99
455	28893329.33
456	28842187.83
457	28831061.1
458	28744664.25
459	28701226.04
460	28648865.41
461	28617101.58
462	28536522.91
463	28519617.96
464	28505252.24
465	28496591.48
466	28462784.03
467	28421407.99
468	28318186.22
469	28301605.91
470	28284782.72
471	28246618.94
472	28206728.48
473	28167638.85
474	28059842.92
475	28020645.92
476	27985946.62
477	27958965.29
478	27937898.5
479	27875469.76
480	27802491.32
481	27726768.65
482	27683291
483	27646246.67
484	27592285.65
485	27576514.19
486	27520359.74
487	27465396.26
488	27374556.63
489	27353182.6
490	27337239.69
491	27287574.81
492	27231356.8
493	27215515.79
494	27150272.76
495	27125304.53
496	27051149.83
497	26940126.27
498	26896548.97
499	26869191.95
500	26820972.53
501	26770680.44
502	26691536.09
503	26674728.98
504	26665113.98
505	26637627.23
506	26601763.81
507	26587613.14
508	26547488.45
509	26481135.04
510	26405837.41
511	26310864.2
512	26234452.85
513	26177904.04
514	26164497.74
515	26153986.67
516	26147801.42
517	26084037.03
518	26043621.17
519	25974484.7
520	25960572.53
521	25929300.48
522	25864935.45
523	25802751.19
524	25797824.74
525	25738479.72
526	25696578.12
527	25669490.56
528	25611264.97
529	25594082.68
530	25555513.18
531	25529846.46
532	25517766.33
533	25449418.2
534	25388540.29
535	25361186.57
536	25323460.79
537	25280615.2
538	25264576.18
539	25258826.61
540	25165579.54
541	25159405.75
542	25096590.23
543	25030862.89
544	25022979.28
545	24973211.52
546	24857411.19
547	24819222.74
548	24757403.78
549	24726513.72
550	24693549.49
551	24660566.41
552	24619121.38
553	24580389.4
554	24574886.08
555	24486058.18
556	24455326.38
557	24414734.9
558	24387810.51
559	24313154.06
560	24301701.31
561	24262911.91
562	24219313.92
563	24180878.31
564	24122362.09
565	24070951.01
566	24005588.78
567	23967387.78
568	23919208.37
569	23911147.89
570	23842152.12
571	23779969.36
572	23773960.81
573	23745383.81
574	23696880.46
575	23650768.54
576	23633526.23
577	23565476.26
578	23529489.66
579	23519030.93
580	23484117.48
581	23453373.89
582	23424225.29
583	23417490.15
584	23386422.8
585	23345569.91
586	23339348.37
587	23312891.73
588	23309834.09
589	23276555.64
590	23196214.27
591	23187421.88
592	23168682.79
593	23140578.57
594	23091692.25
595	23056694.71
596	23050659.44
597	22984274.28
598	22960554.32
599	22929242.2
600	22870620.71
601	22828764.16
602	22778781.34
603	22773958.51
604	22730654.02
605	22717720.34
606	22666157.93
607	22605237.96
608	22601540.91
609	22578480.97
610	22551437.41
611	22497512.29
612	22477235.38
613	22471513.34
614	22466869.04
615	22408974.54
616	22385089.82
617	22321648.27
618	22293633.26
619	22273092.67
620	22219362.19
621	22196407.99
622	22102931.53
623	22057309.42
624	22050819.13
625	22003120.96
626	21972708.71
627	21930180.09
628	21880392.04
629	21853433.54
630	21806019.04
631	21756399.5
632	21695135.13
633	21664787.11
634	21624224.33
635	21547644.25
636	21528280.17
637	21504394.77
638	21464038.45
639	21441898.69
640	21394654.57
641	21390629.13
642	21362868.17
643	21359317.89
644	21311818.36
645	21303584.17
646	21291040.5
647	21285248.3
648	21219428.22
649	21188090.5
650	21154422.44
651	21119427.02
652	21056145.01
653	21052617.59
654	21016112.09
655	20963274.31
656	20908761.63
657	20858765.05
658	20784511.98
659	20780943.5
660	20741668.69
661	20716582.21
662	20660399.83
663	20609632.14
664	20560672.07
665	20527037.97
666	20509720.17
667	20499882.34
668	20442896.34
669	20408982.64
670	20399670.24
671	20373358.54
672	20332161.79
673	20311861.61
674	20308675.13
675	20282852.31
676	20216781.66
677	20180602.82
678	20175435.84
679	20139214.87
680	20095371.94
681	20067248.06
682	20006964.35
683	20001635.01
684	19984927.75
685	19967379.1
686	19941791.03
687	19938063.09
688	19893346.49
689	19876800.69
690	19831268.52
691	19817371.55
692	19776205.93
693	19742055.6
694	19708485.24
695	19686328.74
696	19641013.53
697	19619315.51
698	19611833.26
699	19604386.01
700	19580860.64
701	19521901.17
702	19455522.09
703	19417478.67
704	19369144.03
705	19347328.84
706	19345032.12
707	19315811.19
708	19313530.97
709	19271367.83
710	19243413.74
711	19209078.7
712	19173318.61
713	19168767.43
714	19116757.1
715	19090601.3
716	19050093.91
717	19048049.07
718	19025182.96
719	19008345.67
720	19005509.39
721	18976455.62
722	18966845.86
723	18940838.08
724	18914289.33
725	18883486.9
726	18833431.38
727	18811057.11
728	18750847.31
729	18712006.13
730	18708188.82
731	18685753.33
732	18626445.5
733	18591068.5
734	18562593.52
735	18537237.58
736	18495060.32
737	18455784.63
738	18408876.29
739	18405751.09
740	18380835.75
741	18342936.13
742	18299019.65
743	18296422.21
744	18269566.56
745	18222374.05
746	18199346.7
747	18159190.44
748	18137128.68
749	18080513.6
750	18042945.57
751	18016623.93
752	17988576.88
753	17985995.83
754	17961892.54
755	17913801.83
756	17883006.58
757	17862814.69
758	17860952.13
759	17855897.4
760	17851197.78
761	17822818.55
762	17779105.9
763	17717163.34
764	17692291.42
765	17655991.89
766	17653759.46
767	17602895.85
768	17571474.58
769	17527909.51
770	17507527.54
771	17505391.02
772	17483992.77
773	17460832.96
774	17418506.1
775	17385512.61
776	17358369.83
777	17331538.22
778	17323583.28
779	17297573.4
780	17262816.78
781	17239654.27
782	17202770.61
783	17197600.05
784	17161770.28
785	17144320.62
786	17124242.39
787	17105890.4
788	17080492.25
789	17046399.66
790	17012691.07
791	17010164.88
792	16996446.9
793	16993153.47
794	16979435.81
795	16978103.37
796	16954296.78
797	16925071.35
798	16881630.26
799	16875972.57
800	16848561.38
801	16812204.97
802	16780293.17
803	16777194.53
804	16774563.96
805	16733384.15
806	16703532.19
807	16674491.88
808	16641595.96
809	16607328.89
810	16604863.16
811	16580353.19
812	16561596.21
813	16542644.38
814	16501895.25
815	16500774.42
816	16479847.59
817	16458255.65
818	16440766.36
819	16402260.03
820	16362032.65
821	16330584.07
822	16294182.66
823	16256310.63
824	16239051.91
825	16212117.19
826	16208025.82
827	16204970.09
828	16185730.98
829	16182462.68
830	16139409.44
831	16105327.86
832	16063835.67
833	16050051.98
834	16011774.93
835	15979278.03
836	15954778.47
837	15932478.61
838	15917828.24
839	15882805.82
840	15873228.95
841	15852695.87
842	15838154.95
843	15819934.2
844	15777540.58
845	15748928.32
846	15719876.21
847	15692928.32
848	15674398.94
849	15631715.18
850	15615487.61
851	15614195.94
852	15611136.28
853	15588564.13
854	15568837.83
855	15537390.14
856	15514420.17
857	15500437.34
858	15486505.78
859	15459807.94
860	15437817.7
861	15429013.37
862	15391991.22
863	15372650.38
864	15348272.1
865	15313817.82
866	15298566.87
867	15295112.83
868	15278198.18
869	15273990.07
870	15257697.4
871	15237927.25
872	15235573.22
873	15223599.52
874	15190211.37
875	15186678.43
876	15183904.42
877	15133045.39
878	15095766.67
879	15045959.14
880	15015250.08
881	14965699.38
882	14947003.33
883	14922718.32
884	14912648.18
885	14876291.27
886	14848047.81
887	14817566.54
888	14816309.7
889	14802753
890	14782439.21
891	14749076.71
892	14747435.28
893	14722789.21
894	14703979.54
895	14675575.72
896	14649090.53
897	14634005.13
898	14631822.35
899	14597723.31
900	14587178.21
901	14570253.83
902	14545967.67
903	14521087.46
904	14500867.35
905	14479150.05
906	14452200.39
907	14429584.44
908	14402572.99
909	14384897.47
910	14355542.64
911	14330193.3
912	14298813.98
913	14281681.87
914	14242835.3
915	14241385.53
916	14229010.7
917	14204336.5
918	14165764.79
919	14145812.29
920	14130697.32
921	14101886.34
922	14071625.96
923	14040216.54
924	13999260.25
925	13972553.37
926	13963973.3
927	13942595.73
928	13902941.54
929	13890155.06
930	13871199.21
931	13858039.65
932	13846058.27
933	13821384.86
934	13782977.05
935	13769410.47
936	13730520.13
937	13692516.98
938	13663718.58
939	13661258.18
940	13643747.68
941	13641775.47
942	13615846.03
943	13614479.44
944	13589290.11
945	13572241.28
946	13551862.69
947	13534758.25
948	13522032.26
949	13502078.78
950	13481410.12
951	13462236.69
952	13402965.16
953	13397579.43
954	13376757.65
955	13373774.29
956	13323348.78
957	13290570.21
958	13271621.55
959	13245726.58
960	13209043.35
961	13195836.09
962	13181833.92
963	13148457.88
964	13115081.59
965	13109531.13
966	13082310.59
967	13064381.63
968	13039671.53
969	13030276.44
970	12987972.47
971	12964464.72
972	12962872.73
973	12933343.23
974	12920482.56
975	12918952.05
976	12898521.88
977	12881223.84
978	12876693.14
979	12859610.3
980	12850200.73
981	12844968.46
982	12812823.42
983	12797208.53
984	12786131.02
985	12777391.55
986	12746457.22
987	12716628.82
988	12686651.6
989	12661070.46
990	12639894.85
991	12611495.83
992	12601181.99
993	12600119.96
994	12579220.01
995	12569284.84
996	12544324.94
997	12512998.67
998	12481259.68
999	12466438.26
